trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",30,0,-219.6257521136549,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-40.217604514559824,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-150.45080511277968,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-115.55433708707898,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-133.61376025930963,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-137.6107133527632,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-105.75687753445632,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-56.439004079255035,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-130.48875634333228,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-63.7925519491912,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-61.03268574957811,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-67.60433949291271,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,0,-99.3053374190551,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,8,-48.56516159541204,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-19.79308489065914,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-19.423667224569797,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,-25.775067060733015,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-10.103448361003844,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",35,13,-18.057821861620337,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,12,16.171143005154956,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",25,15,16.042065963903298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",20,0,5.612009343214638,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'e': 0.0, 'a': 0.0}",25,3,22.52211200199332,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",20,0,-20.10662002283736,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,True,"{'e': 0.0, 'a': 0.0}",30,0,15.647876614507418,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'e': 0.0, 'a': 0.0}",20,0,29.350392188070273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0.0, 'a': 0.0}",20,0,25.956431107981324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",20,13,14.954014333156108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",30,4,35.40480685981074,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",20,1,-11.225258826663012,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
