trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99, 'a': 0.5}",20,0,-74.94903505216492,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'e': 0.9801, 'a': 0.5}",20,0,-132.1979723269443,"{0: 7, 1: 4, 2: 6, 3: 3, 4: 0}",0
3,False,"{'e': 0.9702989999999999, 'a': 0.5}",20,0,-56.664037109799516,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'e': 0.96059601, 'a': 0.5}",20,0,-132.84995715365213,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'e': 0.9509900498999999, 'a': 0.5}",35,0,-101.24045962749614,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,False,"{'e': 0.9414801494009999, 'a': 0.5}",30,0,-211.84691266495167,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
7,False,"{'e': 0.9320653479069899, 'a': 0.5}",20,0,-51.10327915160736,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,False,"{'e': 0.92274469442792, 'a': 0.5}",35,0,-120.97155506478866,"{0: 20, 1: 4, 2: 10, 3: 1, 4: 0}",0
9,False,"{'e': 0.9135172474836407, 'a': 0.5}",25,3,-179.94622790755304,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 3}",1
10,False,"{'e': 0.9043820750088043, 'a': 0.5}",20,0,-58.219983610906354,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,False,"{'e': 0.8953382542587163, 'a': 0.5}",25,0,-90.60482926211048,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'e': 0.8863848717161291, 'a': 0.5}",25,3,-142.73906407369392,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 2}",1
13,False,"{'e': 0.8775210229989678, 'a': 0.5}",20,0,-61.430627781662466,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
14,False,"{'e': 0.8687458127689781, 'a': 0.5}",25,0,-164.06129592454886,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
15,False,"{'e': 0.8600583546412883, 'a': 0.5}",25,0,-148.17824668625425,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'e': 0.8514577710948754, 'a': 0.5}",30,0,-134.24657242717785,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
17,False,"{'e': 0.8429431933839266, 'a': 0.5}",20,0,-85.27465197204309,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
18,False,"{'e': 0.8345137614500874, 'a': 0.5}",35,0,-129.4903194635131,"{0: 19, 1: 3, 2: 12, 3: 1, 4: 0}",0
19,False,"{'e': 0.8261686238355865, 'a': 0.5}",20,0,-86.3750841942341,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
20,False,"{'e': 0.8179069375972307, 'a': 0.5}",35,0,-131.52004209392297,"{0: 22, 1: 7, 2: 4, 3: 0, 4: 2}",0
21,False,"{'e': 0.8097278682212583, 'a': 0.5}",20,0,-122.00760625416272,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
22,False,"{'e': 0.8016305895390458, 'a': 0.5}",25,3,-14.911329057477348,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 0}",1
23,False,"{'e': 0.7936142836436553, 'a': 0.5}",25,19,2.047617570395697,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'e': 0.7856781408072188, 'a': 0.5}",20,6,-72.981215157182,"{0: 6, 1: 4, 2: 2, 3: 2, 4: 0}",1
25,False,"{'e': 0.7778213593991465, 'a': 0.5}",25,0,-102.99628329327695,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'e': 0.7700431458051551, 'a': 0.5}",35,0,-126.94329558655528,"{0: 24, 1: 2, 2: 7, 3: 0, 4: 2}",0
27,False,"{'e': 0.7623427143471035, 'a': 0.5}",20,0,-47.63780128651198,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
28,False,"{'e': 0.7547192872036325, 'a': 0.5}",20,0,-36.41184078935622,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
29,False,"{'e': 0.7471720943315961, 'a': 0.5}",25,0,-22.09762586148618,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
30,False,"{'e': 0.7397003733882802, 'a': 0.5}",20,9,-48.24294831546868,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'e': 0.7323033696543974, 'a': 0.5}",20,0,-96.02827004036995,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
32,False,"{'e': 0.7249803359578534, 'a': 0.5}",20,0,-63.54399562411225,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
33,False,"{'e': 0.7177305325982748, 'a': 0.5}",30,0,-28.194429121588747,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
34,False,"{'e': 0.7105532272722921, 'a': 0.5}",30,3,-157.06054005670484,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 2}",1
35,False,"{'e': 0.7034476949995692, 'a': 0.5}",20,0,-23.240123890914603,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
36,False,"{'e': 0.6964132180495735, 'a': 0.5}",25,0,12.970883374823716,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'e': 0.6894490858690777, 'a': 0.5}",20,0,-94.84149281660534,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
38,False,"{'e': 0.682554595010387, 'a': 0.5}",25,0,-111.6020378330937,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
39,False,"{'e': 0.6757290490602831, 'a': 0.5}",20,0,-98.64021788856226,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
40,False,"{'e': 0.6689717585696803, 'a': 0.5}",20,0,-135.7051564536748,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
41,False,"{'e': 0.6622820409839835, 'a': 0.5}",25,10,-51.21890943117102,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
42,False,"{'e': 0.6556592205741436, 'a': 0.5}",25,0,-116.74560553903949,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
43,False,"{'e': 0.6491026283684022, 'a': 0.5}",25,0,-76.24859897240782,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
44,False,"{'e': 0.6426116020847181, 'a': 0.5}",25,0,-45.47025437274773,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'e': 0.6361854860638709, 'a': 0.5}",30,0,-169.17427862313372,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
46,False,"{'e': 0.6298236312032323, 'a': 0.5}",20,0,-61.37095624964764,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
47,False,"{'e': 0.6235253948912, 'a': 0.5}",25,4,-35.25197521110846,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
48,False,"{'e': 0.617290140942288, 'a': 0.5}",25,14,-17.564246661378682,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
49,False,"{'e': 0.6111172395328651, 'a': 0.5}",20,2,-26.77508125322385,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'e': 0.6050060671375365, 'a': 0.5}",25,19,3.693090764506265,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'e': 0.5989560064661611, 'a': 0.5}",25,0,-91.90230619708349,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",1
52,False,"{'e': 0.5929664464014994, 'a': 0.5}",25,14,1.1009221916649858,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'e': 0.5870367819374844, 'a': 0.5}",30,1,-110.13095467651878,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 2}",1
54,False,"{'e': 0.5811664141181095, 'a': 0.5}",25,0,-153.4525041088059,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
55,False,"{'e': 0.5753547499769285, 'a': 0.5}",20,0,-111.48368238468282,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
56,False,"{'e': 0.5696012024771592, 'a': 0.5}",25,0,7.755309263925719,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
57,False,"{'e': 0.5639051904523876, 'a': 0.5}",25,2,-115.46507928729667,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
58,False,"{'e': 0.5582661385478638, 'a': 0.5}",25,0,-25.273043651142892,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
59,False,"{'e': 0.5526834771623851, 'a': 0.5}",30,15,-6.7217719430798635,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'e': 0.5471566423907612, 'a': 0.5}",20,12,1.355934165972685,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'e': 0.5416850759668536, 'a': 0.5}",25,19,2.7986647782852536,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'e': 0.536268225207185, 'a': 0.5}",25,14,-33.93479583907902,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
63,False,"{'e': 0.5309055429551132, 'a': 0.5}",25,0,-44.86517580716315,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
