trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",30,7,-106.32347781861878,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 1}",1
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-175.05930075804065,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-227.81149547764778,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-63.007521562751435,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-98.54591764391641,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-123.01823549424424,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",20,0,-89.80249292467099,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'e': 1.0, 'a': 0.5}",30,0,-183.8318898414276,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,13,-16.182969230394207,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-33.874904569833475,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-77.57367017288514,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
12,False,"{'e': 1.0, 'a': 0.5}",30,0,-306.0381073081904,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 5}",0
13,False,"{'e': 1.0, 'a': 0.5}",25,0,-223.10846668525753,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
14,False,"{'e': 1.0, 'a': 0.5}",20,0,-71.58192671927362,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'e': 1.0, 'a': 0.5}",35,0,-237.96347231684206,"{0: 22, 1: 3, 2: 3, 3: 3, 4: 4}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,9,-93.54802301738185,"{0: 4, 1: 2, 2: 3, 3: 1, 4: 1}",1
17,False,"{'e': 1.0, 'a': 0.5}",30,0,-125.31401343952764,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-70.58143184737666,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'e': 1.0, 'a': 0.5}",30,0,-203.9346451377608,"{0: 20, 1: 3, 2: 1, 3: 2, 4: 4}",0
20,False,"{'e': 1.0, 'a': 0.5}",35,0,-215.01845172084393,"{0: 19, 1: 3, 2: 8, 3: 3, 4: 2}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-67.12655024698613,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-115.85028322718262,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",25,0,-126.03570618223465,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-92.93534614248938,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-23.500025998573502,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-77.6921800588935,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-73.71183087470021,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,True,"{'e': 1.0, 'a': 0.5}",30,0,-163.44922059744107,"{0: 17, 1: 4, 2: 4, 3: 4, 4: 1}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-87.6082878453265,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-121.40673787720299,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
